minority_frac,trial,strategy,ops_retained,info_retention,tauhat
0.3,0,leader,0.8333333333333334,0.8609601449275363,0.13903985507246377
0.3,0,lww,1.0,0.9221014492753623,0.07789855072463768
0.3,0,ranked_pairs,1.0,0.9221014492753623,0.07789855072463768
0.3,1,leader,0.6666666666666666,0.9302536231884058,0.06974637681159421
0.3,1,lww,1.0,0.916213768115942,0.08378623188405797
0.3,1,ranked_pairs,1.0,0.916213768115942,0.08378623188405797
0.3,2,leader,0.625,0.9492753623188406,0.050724637681159424
0.3,2,lww,1.0,0.9130434782608696,0.08695652173913043
0.3,2,ranked_pairs,1.0,0.9130434782608696,0.08695652173913043
0.3,3,leader,0.8333333333333334,0.9248188405797102,0.07518115942028986
0.3,3,lww,1.0,0.9252717391304348,0.07472826086956522
0.3,3,ranked_pairs,1.0,0.9252717391304348,0.07472826086956522
0.3,4,leader,0.7916666666666666,0.855072463768116,0.14492753623188406
0.3,4,lww,1.0,0.917572463768116,0.08242753623188406
0.3,4,ranked_pairs,1.0,0.917572463768116,0.08242753623188406
0.3,5,leader,0.8333333333333334,0.8790760869565217,0.12092391304347826
0.3,5,lww,1.0,0.9148550724637681,0.08514492753623189
0.3,5,ranked_pairs,1.0,0.9148550724637681,0.08514492753623189
0.3,6,leader,0.7916666666666666,0.9479166666666666,0.052083333333333336
0.3,6,lww,1.0,0.9293478260869565,0.07065217391304347
0.3,6,ranked_pairs,1.0,0.9293478260869565,0.07065217391304347
0.3,7,leader,0.9166666666666666,0.8781702898550725,0.12182971014492754
0.3,7,lww,1.0,0.9279891304347826,0.07201086956521739
0.3,7,ranked_pairs,1.0,0.9279891304347826,0.07201086956521739
0.3,8,leader,0.8333333333333334,0.8994565217391304,0.10054347826086957
0.3,8,lww,1.0,0.9107789855072463,0.08922101449275362
0.3,8,ranked_pairs,1.0,0.9107789855072463,0.08922101449275362
0.3,9,leader,0.7083333333333334,0.9279891304347826,0.07201086956521739
0.3,9,lww,1.0,0.9257246376811594,0.07427536231884058
0.3,9,ranked_pairs,1.0,0.9257246376811594,0.07427536231884058
0.3,10,leader,0.7083333333333334,0.9230072463768116,0.0769927536231884
0.3,10,lww,1.0,0.9284420289855072,0.07155797101449275
0.3,10,ranked_pairs,1.0,0.9284420289855072,0.07155797101449275
0.3,11,leader,0.6666666666666666,0.9506340579710145,0.049365942028985504
0.3,11,lww,1.0,0.9307065217391304,0.06929347826086957
0.3,11,ranked_pairs,1.0,0.9307065217391304,0.06929347826086957
0.3,12,leader,0.5833333333333334,0.9542572463768116,0.04574275362318841
0.3,12,lww,1.0,0.9279891304347826,0.07201086956521739
0.3,12,ranked_pairs,1.0,0.9279891304347826,0.07201086956521739
0.3,13,leader,0.7083333333333334,0.9628623188405797,0.03713768115942029
0.3,13,lww,1.0,0.9311594202898551,0.06884057971014493
