conflict,trial,strategy,M,causal_density,tau_causal,tau_contested,tauhat,info_retention
high,6,lww,24,0.07971014492753623,0,178,0.0806159420289855,0.9193840579710145
high,6,vc,24,0.07971014492753623,0,844,0.3822463768115942,0.6177536231884058
high,6,crdt_pure,24,0.07971014492753623,0,178,0.0806159420289855,0.9193840579710145
high,6,crdt_lww,24,0.07971014492753623,0,178,0.0806159420289855,0.9193840579710145
high,6,leader,24,0.07971014492753623,0,221,0.10009057971014493,0.8999094202898551
high,6,ranked_pairs,24,0.07971014492753623,0,178,0.0806159420289855,0.9193840579710145
high,7,lww,24,0.07971014492753623,0,185,0.08378623188405797,0.916213768115942
high,7,vc,24,0.07971014492753623,0,751,0.3401268115942029,0.6598731884057971
high,7,crdt_pure,24,0.07971014492753623,0,185,0.08378623188405797,0.916213768115942
high,7,crdt_lww,24,0.07971014492753623,0,185,0.08378623188405797,0.916213768115942
high,7,leader,24,0.07971014492753623,0,85,0.0384963768115942,0.9615036231884058
high,7,ranked_pairs,24,0.07971014492753623,0,185,0.08378623188405797,0.916213768115942
high,8,lww,24,0.12318840579710146,0,164,0.07427536231884058,0.9257246376811594
high,8,vc,24,0.12318840579710146,0,720,0.32608695652173914,0.6739130434782609
high,8,crdt_pure,24,0.12318840579710146,0,164,0.07427536231884058,0.9257246376811594
high,8,crdt_lww,24,0.12318840579710146,0,164,0.07427536231884058,0.9257246376811594
