trial,strategy,M,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms
24,crdt_pure,24,1.0,0.8333333333333334,0.9248188405797102,0,166,0.4,0.3885542168674699,0.06440000288421288
24,crdt_lww,24,1.0,1.0,0.9248188405797102,0,166,0.4,0.3885542168674699,0.05669999882229604
24,leader,24,0.5416666666666666,1.0,0.9823369565217391,0,39,0.6666666666666666,0.6698717948717948,0.03949999882024713
24,ranked_pairs,24,1.0,1.0,0.9248188405797102,0,166,0.4,0.3885542168674699,3.788699999859091
25,lww,24,1.0,1.0,0.9221014492753623,0,172,0.8,0.22674418604651161,0.05400000009103678
25,vc,24,1.0,0.8333333333333334,0.5697463768115942,0,950,0.6,0.07105263157894737,0.16590000086580403
25,crdt_pure,24,1.0,0.8333333333333334,0.9221014492753623,0,172,0.8,0.22674418604651161,0.07140000161598437
25,crdt_lww,24,1.0,1.0,0.9221014492753623,0,172,0.8,0.22674418604651161,0.0518000015290454
25,leader,24,0.625,1.0,0.9420289855072463,0,128,1.0,0.26171875,0.03440000000409782
25,ranked_pairs,24,1.0,1.0,0.9221014492753623,0,172,0.8,0.22674418604651161,3.4582000007503666
26,lww,24,1.0,1.0,0.9017210144927537,0,217,0.75,0.32315668202764974,0.05249999958323315
26,vc,24,1.0,0.9166666666666666,0.5783514492753623,0,931,0.75,0.08203544575725027,0.14700000247103162
26,crdt_pure,24,1.0,0.9166666666666666,0.9017210144927537,0,217,0.75,0.32315668202764974,0.06399999983841553
26,crdt_lww,24,1.0,1.0,0.9017210144927537,0,217,0.75,0.32315668202764974,0.05080000119050965
26,leader,24,0.6666666666666666,1.0,0.8913043478260869,0,240,0.75,0.25625,0.03220000144210644
26,ranked_pairs,24,1.0,1.0,0.9017210144927537,0,217,0.75,0.32315668202764974,3.946899996662978
27,lww,24,1.0,1.0,0.9211956521739131,0,174,1.0,0.3232758620689655,0.04959999932907522
27,vc,24,1.0,0.9583333333333334,0.6648550724637681,0,740,1.0,0.04932432432432433,0.1399000029778108
27,crdt_pure,24,1.0,0.9583333333333334,0.9211956521739131,0,174,1.0,0.3232758620689655,0.04980000085197389
27,crdt_lww,24,1.0,1.0,0.9211956521739131,0,174,1.0,0.3232758620689655,0.05210000017541461
27,leader,24,0.5,1.0,0.947463768115942,0,116,1.0,0.25646551724137934,0.03719999949680641
