conflict,trial,strategy,tau_causal,tau_contested,info_retention,repair_swaps
high,12,rp_unconstrained,0,0.0,1.0,6.0
high,13,lww,0,0.0,1.0,
high,13,vc,0,6.0,0.8125,
high,13,crdt_pure,0,0.0,1.0,
high,13,crdt_lww,0,0.0,1.0,
high,13,leader,0,0.0,1.0,
high,13,ranked_pairs,0,0.0,1.0,
high,13,rp_unconstrained,0,0.0,1.0,3.0
high,14,lww,0,1.0,0.9666666666666667,
high,14,vc,0,9.0,0.7,
high,14,crdt_pure,0,1.0,0.9666666666666667,
high,14,crdt_lww,0,1.0,0.9666666666666667,
high,14,leader,0,0.0,1.0,
high,14,ranked_pairs,0,0.0,1.0,
high,14,rp_unconstrained,0,0.0,1.0,3.0
high,15,lww,0,0.0,1.0,
high,15,vc,0,18.0,0.5263157894736843,
high,15,crdt_pure,0,0.0,1.0,
high,15,crdt_lww,0,0.0,1.0,
high,15,leader,0,0.0,1.0,
high,15,ranked_pairs,0,0.0,1.0,
high,15,rp_unconstrained,0,0.0,1.0,5.0
high,16,lww,0,0.0,1.0,
high,16,vc,0,6.0,0.8125,
high,16,crdt_pure,0,0.0,1.0,
high,16,crdt_lww,0,0.0,1.0,
high,16,leader,0,0.0,1.0,
high,16,ranked_pairs,0,0.0,1.0,
high,16,rp_unconstrained,0,0.0,1.0,2.0
high,17,lww,0,0.0,1.0,
high,17,vc,0,19.0,0.4722222222222222,
high,17,crdt_pure,0,0.0,1.0,
high,17,crdt_lww,0,0.0,1.0,
high,17,leader,0,0.0,1.0,
high,17,ranked_pairs,0,0.0,1.0,
high,17,rp_unconstrained,0,0.0,1.0,5.0
high,18,lww,0,0.0,1.0,
high,18,vc,0,9.0,0.7428571428571429,
high,18,crdt_pure,0,0.0,1.0,
high,18,crdt_lww,0,0.0,1.0,
high,18,leader,0,0.0,1.0,
high,18,ranked_pairs,0,0.0,1.0,
high,18,rp_unconstrained,0,0.0,1.0,3.0
high,19,lww,0,1.0,0.967741935483871,
high,19,vc,0,8.0,0.7419354838709677,
high,19,crdt_pure,0,1.0,0.967741935483871,
high,19,crdt_lww,0,1.0,0.967741935483871,
